name,bio,sponsers,insta-followers,insta-rank,yt-views,yt-rank,funded,paid,backers
Omer Sanli,"Goofy,  Age 23,  Izmir TUR",Mushroom Apparel.,"1,163","2,172",0,0,$0,$0,0
Orion Shehan,"Age 20,  Austin USA",None.,,,,,$0,$0,0
Pablo Garcia Sierra,USA,None.,,,,,$0,$0,0
Patryk Stachovwicz,"Goofy,  Age 11,  Minneapolis USA",None.,,,,,$0,$0,0
Patricio Sodi,"Goofy,  Age 28,  Mexico City MEX",Beat Skateboards.,,,,,$0,$0,0
Omar Sarabia,"Goofy,  Age 17,  Puerto Peñasco MEX",None.,,,,,$0,$0,0
Omar Salazar,"Regular,  Age 33,  Sacramento USA","Spitfire, Independent, Nike, Hard Luck, Jessup, Supreme, Doom Sayers.","60,147",219,"712,722",251,$0,$0,0
Ollie Shields,"Age 25,  Canterbury GBR","Cult, Vans, Seventies.",,,,,$0,$0,0
Norbert Szombati,"Regular,  Age 30,  Cologne DEU","Nike SB, EMillion, LRG, Silver, FKD, SML Wheels.",,,,,$0,$0,0
Okan Sen,"Age 21,  Antalya TUR","The Roof,.",,,,,$0,$0,0
Michael Ramirez,"Regular,  Age 15,  Phoenix USA",None.,,,,,$0,$0,0
Memo Rojas,"Goofy,  Age 16,  Peoria USA",None.,,,,,$0,$0,0
Meagan Rawlings,"Goofy,  Age 18,   AUS",None.,402,"3,166",0,0,$0,$0,0
Maxwell Rutter,"Goofy,  Age 18,  Buffalo USA",None.,,,,,$0,$0,0
Melvin Rivera,Aguadilla PUR,"Globe, Surf Zone.",,,,,$0,$0,0
Ntando Swapi,"Regular,  Age 13,  Cosmo City ZAF",None.,,,,,$0,$0,0
Max Renaud,FRA,"PW Skate Shop, Tealer, DC.",,,,,$0,$0,0
Max Reger,"Regular,  Age 16,  Buffalo USA",None.,,,,,$0,$0,0
Phillip Solomon,"Regular,  Age 20,  Port Adelaide AUS",None.,544,"2,959",0,0,$0,$0,0
Max Rembe,"Regular,  Age 10,  Santa Fe USA",None.,,,,,$0,$0,0
Olaf Schott,"Age 27,  Salzkotten DEU","Jart Skateboards, Slider Boardshop.",,,,,$0,$0,0
Max Rocha,"Age 14,  Houston USA",None.,,,,,$0,$0,0
Max Ruhland,"Goofy,  Age 17,  Gilbert USA","Sweet Pickle, Duh Grip, Paradox Supply.","1,954","1,641",0,0,$0,$0,0
Mauricio Romero,MEX,None.,,,,,$0,$0,0
Max Rodriguez,"Regular,  Age 20,  Gardina USA",Yezzur Skateboards.,,,,,$0,$0,0
Matt Rabun,"Goofy,  Age 38,  Phoenix USA",None.,,,,,$0,$0,0
Matt Reschke,"Regular,  Age 17,  Royal Oak USA",None.,,,,,$0,$0,0
Matthew Ramos,"Goofy,  Age 19,  Aurora USA",None.,,,,,$0,$0,0
Matt Rodriguez,"Regular,   Sacramento USA","Stereo, Ace Trucks, Lucky Bearings.",,,,,$0,$0,0
Matt Rondone,"Regular,  Age 32,  Racine USA",None.,,,,,$0,$0,0
Omar Segovia,"Goofy,  Age 23,  Herndon USA","Delores Wheel Co, Alpine Ski Shop, One Collective.",934,"2,434","1,581","1,438",$0,$0,0
Matt Rondoletto,"Goofy,  Age 23,  West Field USA","Theory, Hoodlum Skateboards, Convers,.",,,,,$0,$0,0
Matt Roe,"Age 32,  Derbyshire GBR","Mutiny Bikes, Fly parts, oneindustries, Europe and 20/twenty store.","17,692",537,0,0,$0,$0,0
Matt Rice,Phillipsburg USA,"Xstyles Skateshop, Delb, Ello Gum, DNA.","52,046",243,0,0,$0,$0,0
Marvin Rodriguez,"Regular,  Age 15,  Fairfax USA",None.,,,,,$0,$0,0
Matthew Robin,"Regular,  Age 28,  Oakland USA",None.,,,,,$0,$0,0
Marvin Ramirez,MEX,None.,,,,,$0,$0,0
Marlon Rivera,"Goofy,  Age 15,  Fairfax USA",None.,,,,,$0,$0,0
Matt Ray (BMX),"Age 21,  Lowell USA","Subrosa, Shadow Conspiracy.","35,175",333,0,0,$0,$0,0
Mateo Rael,"Regular,  Age 18,  San Clemente USA","Volcom, etnies, Santa Cruz.","2,623","1,399","13,608","1,014",$0,$0,0
Martin Rybar,CZE,None.,,,,,$0,$0,0
Mark Robinson,"Regular,  Age 20,  Palm Bay USA",Gsz.,,,,,$0,$0,0
Mario Romero,"Goofy,  Age 17,  Chicago USA",None.,,,,,$0,$0,0
Mario Realegeno,"Goofy,  Age 25,  Los Angeles USA","Doom Sayers, Lotties Skate shop, Nike, Jessup Griptape.","2,113","1,577","6,501","1,195",$0,$0,0
Marley Rae,"Regular,  Age 14,   AUS",Grundys Skate Store.,"1,847","1,689",0,0,$0,$0,0
Mark Roberts,"Regular,  Age 22,  Dallas USA",None.,,,,,$0,$0,0
Maria Ramirec,"Goofy,  Age 27,  Barceloneta PUR",None.,,,,,$0,$0,0
Maria Rojas Benavides,"Goofy,  Age 19,  Santiago CHL","Puma, Volcom, Ryder Skateboarding, Bones, Zudazimio, Amateur Brand.","8,979",801,0,0,$0,$0,0
Marielle Reminjnse,USA,None.,,,,,$0,$0,0
Marco Roque,USA,None.,,,,,$0,$0,0
Marco Rey,La Coruña ESP,Jart.,,,,,$0,$0,0
Mark Radden,"Regular,  Age 27,  Essex GBR","Death Skateboards, Supertonic Wheels, Triple Sword Skateshop.",,,,,$0,$0,0
Marcel Rieger,"Regular,  Age 28,  Vienna AUT","Uber Skateboards, Titus Tornados  , fame skateshop, Antix Headwear , Thundertrucks, Skullcandy, Whitehouse300, Realx coffeshop barcelona.","3,634","1,186",0,0,$0,$0,0
Martin Rivera,"Regular,  Age 27,  Bogota COL",None.,,,,,$0,$0,0
Marvin Rausch,"Regular,  Age 21,  Karlsruhe DEU","TLOC 2014 Teilnehmer, Wind-Sport, Telephone Skateboards,.",,,,,$0,$0,0
Gunes Özdogan,USA,adidas.,,,,,$0,$0,0
Manuel Rangel,"Regular,  Age 18,  Chicago USA",None.,,,,,$0,$0,0
Brian Londono,"Age 29,  Cali COL","Irony,  ID Skateboarding, Lakai.",,,,,$0,$0,0
Brian Lopez,"Goofy,  Age 18,  Phoenix USA",None.,,,,,$0,$0,0
Marcio Roberto,San Jose Dos Campos BRA,"Hocks, Andale Bearings, Nobre, Sk8 Shop.",,,,,$0,$0,0
Mason Reiber,"Regular,  Age 14,  Denver USA",None.,,,,,$0,$0,0
Manolo Robles,ESP,None.,,,,,$0,$0,0
Brendan Leahy,"Age 23,  Bradenton USA",None.,,,,,$0,$0,0
Brandon A Lee,"Regular,  Age 21,  Columbus USA",None.,,,,,$0,$0,0
Brent Lipps,"Regular,  Age 18,  Raleigh USA",Shoutout- 1031 Kristina Svitak.,,,,,$0,$0,0
Brandon Lomax,USA,None.,,,,,$0,$0,0
Brandon Lanzo,"Regular,  Age 21,  Ocala USA",None.,,,,,$0,$0,0
Brandon Logan,"Goofy,  Age 22,  Mesa USA",None.,,,,,$0,$0,0
Brandon Lopez,"Goofy,  Age 22,  Austin USA","Shoutout to A-Minus, Mable Davis LOCS.",726,"2,682",0,0,$0,$0,0
Brandon Lozano,"Goofy,  Age 18,  Houston USA",None.,,,,,$0,$0,0
Marco Rivera,"Regular,  Age 25,  Madrid ESP",None.,,,,,$0,$0,0
Brandon Ly,"Goofy,  Age 19,  Houston USA","Select Skate Shop, HUF, Glassy Sunglasses, American Blue Bearings.",,,,,$0,$0,0
Brandon Lee,"Regular,  Age 21,  Cincinatti USA",None.,,,,,$0,$0,0
Bran Leonardo,MEX,None.,,,,,$0,$0,0
Brandon Lasko,USA,None.,,,,,$0,$0,0
Brian LeBaron,"Goofy,  Age 20,  Thorton USA",None.,,,,,$0,$0,0
Brandon Loupos,"Age 24,  Sydney AUS","Fox, Hyper Bicycles, Snafu, Rockstar, Vans.","46,238",266,0,0,$0,$0,0
Braden Lozano,"Regular,  Age 16,  Jerome USA",None.,,,,,$0,$0,0
Brady Lanham,"Regular,  Age 21,  Sacramento USA",None.,,,,,$0,$0,0
Brennan Lee,"Regular,  Age 18,  Columbus USA",None.,,,,,$0,$0,0
Brandon Lane,"Regular,  Age 17,  Clearwater USA",None.,,,,,$0,$0,0
Blake Langley,"Regular,  Age 15,  Peoria USA",None.,,,,,$0,$0,0
Blaine Lowther,Wynona USA,Anthem Skate Shop.,,,,,$0,$0,0
Bobby Lacey,"Goofy,   Surprise USA",None.,,,,,$0,$0,0
Bjørn Luke,"Regular,  Age 22,  Bergen NOR",None.,,,,,$0,$0,0
Bjorn Lillesoe,"Goofy,  Age 21,  Copenhagen DNK","Alis, Independent, Vans, Chacales, Red Bull.","2,415","1,471",0,0,$0,$0,0
Beto Luna,"Regular,  Age 19,  San Diego USA","Laced Clothing, IPath (flow), Route 44 Skateshop.",,,,,$0,$0,0
Bishop Leuvano,"Regular,  Age 13,  Dallas USA",None.,,,,,$0,$0,0
Bianca Lio,USA,None.,,,,,$0,$0,0
Ben Lorson,"Goofy,  Age 23,  Orrville USA",None.,,,,,$0,$0,0
Blane Laubach,"Regular,  Age 22,  Baton Rouge USA",None.,,,,,$0,$0,0
Marco Ruelas,"Regular,  Age 20,  Phoenix USA",None.,,,,,$0,$0,0
Ben Lewis,"Goofy,  Age 10,  Acworth USA",None.,,,,,$0,$0,0
Ben Lawrie,"Goofy,  Age 20,  Melbourne AUS","Nike SB Australia, Element, Thunder, Hemley's Skate Shop.","3,312","1,254",272,"1,660",$0,$0,0
Billy Lukins,"Regular,  Age 26,  Sydney AUS","adidas, Sweetheart, SML, Lodown.",,,,,$0,$0,0
Benny Landy-Pavlon,Boca Raton USA,None.,,,,,$0,$0,0
Chris Warren,"Regular,   Vero USA","YOUR MOM, Sparky's.",,,,,$0,$0,0
Chris Wallner,"Regular,  Age 24,  Venice USA",P(a)yne skatepark.,,,,,$0,$0,0
Chris Wimer,Virginia Beach USA,"Emerica (flow), ZERO, Spitfire (flow), Thunder (flow), Cardinal Skate Shop, Altamont, Bronson.","13,494",625,"83,104",605,$0,$0,0
Ben Longley,"Goofy,  Age 9,  Denver USA","Str8G Industries, Know Name Productions, Baf Wax.",189,"3,484",0,0,$0,$0,0
Balder Lehman,Copenhagen DNK,None.,,,,,$0,$0,0
Brad Lane,"Goofy,  Age 29,  Palmdale USA","Pharmacy, Lakai, Team BK, Alien, Electric Sole Tattoo.",,,,,$0,$0,0
Chris Wakeling,AUS,None.,,,,,$0,$0,0
Bails Leist,"Goofy,  Age 20,  Virginia Beach USA",None.,,,,,$0,$0,0
Chase Webb,"Regular,  Age 22,  Murrieta USA","Pizza Skateboards, DC, spitfire, Thunder, Active.","71,818",187,"1,142,245",191,$0,$0,0
Charles Wasden,Lakeland USA,None.,,,,,$0,$0,0
Baltazar Lozano,"Goofy,  Age 21,  Jerome USA",None.,,,,,$0,$0,0
Chris Ward,"Regular,  Age 29,  Margay USA","morphine, deadbent.",,,,,$0,$0,0
Charley White,"Goofy,  Age 17,  Lithia USA",None.,,,,,$0,$0,0
Chad Worrall,"Regular,  Age 23,  Orlando USA","Liquid Force, OWC.","1,374","1,981",0,0,$0,$0,0
Casey Wamstad,"Regular,  Age 22,  Dallas USA",None.,,,,,$0,$0,0
Casey Wells,"Goofy,   Huntington Beach USA","Siren Skateboards, Fyasko Clothing, Airspeed, Active HB.",,,,,$0,$0,0
Chris Warren,"Age 34,  Vero Beach USA","Sparky's, Disaster Squad, Heathen Brothers.",803,"2,589",0,0,$0,$0,0
Chris Woodpecker,"Goofy,  Age 20,  Berlin DEU","Rufus Skate shop, Alley from the valley..",,,,,$0,$0,0
Casey Wayne,"Regular,  Age 30,  Pickens USA","#BoardrBoys, #BoardrBus.","1,436","1,918",774,"1,518",$0,$0,0
Carter Wood,"Goofy,  Age 19,  Houston USA","Primitive Skateboards (flow), Select Skateshop.","3,870","1,159",0,0,$0,$0,0
Candler Woods,"Goofy,  Age 30,  McDonough USA","Stratosphere, Birdhouse, Rip N Dip, The Goodworth, Bender.",,,,,$0,$0,0
Cassie Whiteman,"Goofy,  Age 12,  Inala AUS",None.,"1,074","2,263",0,0,$0,$0,0
Cameron Wirag,"Age 17,  Plantation USA",None.,,,,,$0,$0,0
Calvin Watson,"Regular,  Age 17,  Denton USA",None.,,,,,$0,$0,0
Chance White,"Regular,    USA",None.,,,,,$0,$0,0
Caleb Weaver,"Regular,  Age 12,  Knoxville USA",Apache Pine.,362,"3,229",0,0,$0,$0,0
Caleb Woods,"Goofy,  Age 16,  Gainesville USA",None.,,,,,$0,$0,0
Carl Williams,"Regular,  Age 20,  Dallas USA",None.,,,,,$0,$0,0
Cameron Weston,"Goofy,  Age 26,  Woodbury USA",None.,,,,,$0,$0,0
Cadell Williams,"Goofy,  Age 10,  New Smyrna USA",Grom Gear.,,,,,$0,$0,0
Cameo Wilson,"Goofy,  Age 28,  Las Vegas USA","Darkstar, Supra, Pharmacy Skateshop, Gold Wheels, Krew, G-Shock, Stance, Thunder.","11,613",680,0,0,$0,$0,0
Vinnie Nanthavongsa,"Regular,  Age 29,  Minneapolis USA","Familia, Nike SB.",,,,,$0,$0,0
Chad Wilson,"Goofy,  Age 24,  Peterborough CAN","SK8MAFIA, Bones Wheels, Vans, JSLV Clothing (flow), Happy Hour, Stance.",,,,,$0,$0,0
Chad Wehrwein,"Regular,  Age 27,  Seattle USA",None.,,,,,$0,$0,0
Caden Wolf,"Goofy,  Age 11,  Ann Arbor USA",None.,,,,,$0,$0,0
Vincent Nava,"Regular,  Age 18,  Downey USA","Foundation (flow), Emerica (Flow), Mainline Skateshop, Pig Wheels, Happy Hour Shades.","8,818",806,0,0,$0,$0,0
Tom Nelner,"Goofy,  Age 21,  Calgary CAN","Adidas Skateboarding Canada, The Source.","1,316","2,031",0,0,$0,$0,0
Cade Wilson-Russ,Kumara NZL,"Nike SB, Nelson Creek Skateboards, Hemelies.",,,,,$0,$0,0
Vasiliy Nesmelov,Perm RUS,None.,,,,,$0,$0,0
Tyrell Neal,"Regular,  Age 22,  Safety Harbor USA",None.,,,,,$0,$0,0
Trevor Nestvold,"Goofy,  Age 19,  Maricopa USA",None.,,,,,$0,$0,0
Tim Naper,"Goofy,  Age 20,  Delaware USA",None.,,,,,$0,$0,0
Thomas Nielsen,"Goofy,  Age 28,  Aalborg DNK","Zero Europe, Emerica Europe, Spitfire, Thunder, The Boss Shop.",,,,,$0,$0,0
Thomas Nelson,"Goofy,  Age 21,  Houston USA",None.,,,,,$0,$0,0
Timothy Navarette,"Regular,  Age 24,  El Paso USA","Pakitu Skate Plaza, Ysleta del Sur Pueblo, Sosa Grip, Decent skateboards, Thousand Grams Club, Crooks.","1,430","1,925",0,0,$0,$0,0
Tyler Noble,"Regular,  Age 26,  Indian Harbour Beach USA",None.,,,,,$0,$0,0
Tirso Navarrete,"Age 21,  Oaxaca MEX",None.,,,,,$0,$0,0
Vinny Navy,"Age 22,  Ft Meyrs USA",None.,,,,,$0,$0,0
tim nilon,"Regular,  Age 29,  orlando USA",None.,,,,,$0,$0,0
Ted Newsome,USA,None.,,,,,$0,$0,0
Taylor Nye,"Regular,  Age 13,  Costa Mesa USA","Powell-Peralta, RVCA, Etnies, Surfside Sports, Bell.","3,961","1,150",65,"1,765",$0,$0,0
Terrell Newell aka Poohrail,"Goofy,  Age 20,  Oakland USA","Funktion Skateboards, SRT.","12,284",661,"356,590",365,$0,$0,0
Storm Newsom,"Regular,  Age 16,  Bakersfield USA","Salmon Head Skate Co, Timeless Wax.","2,296","1,508",0,0,$0,$0,0
Stijn Nieuwenhuis,"Age 29,  Almere NLD","Hard Bitten, SkateOn.",,,,,$0,$0,0
Steve Nesser,"Regular,  Age 39,  Minneapolis USA",Familia Skateshop.,"12,492",656,"112,607",552,$0,$0,0
Tanner Napper,"Regular,  Age 23,  Dallas USA",None.,,,,,$0,$0,0
Steve Nowak,"Regular,   Atanta USA",None.,,,,,$0,$0,0
Stefani Nurding,"Goofy,  Age 29,  Plymouth GBR","Polar, Animal, Vans UK Flow.","45,500",269,"4,697","1,251",$0,$0,0
Sonny Nadalin,AUS,None.,,,,,$0,$0,0
Sondre Nordgård,"Goofy,  Age 16,  Oslo NOR",Båtservice.,,,,,$0,$0,0
Soeren Noe,"Regular,  Age 19,  Aalborg DNK",The Boss.,,,,,$0,$0,0
"Tenzin Nyinje ""Bomb""","Goofy,  Age 20,  Santa Fe USA",None.,,,,,$0,$0,0
Soren Noe,"Regular,  Age 19,   DNK",None.,,,,,$0,$0,0
Soeren Nielsen,"Goofy,  Age 24,  Aalborg DNK","The Boss, DC, LRG.",,,,,$0,$0,0
SIMILA Ndlovo,"Regular,  Age 12,  Johannesburg ZAF",None.,,,,,$0,$0,0
Similo Ndlovu,"Age 13,  Pretoria ZAF",None.,,,,,$0,$0,0
Silas Newmann,Bend USA,None.,,,,,$0,$0,0
Spencer Nuzzi,"Goofy,  Age 26,  Del Mar USA","Armourdillo, Birdhouse (flow), Theeve (flow), Mishkay (flow), Willy's Workshop.",,,,,$0,$0,0
Sora Negishi,Gunma JPN,"DC, Trick Star, Hibrid Skateboards.",,,,,$0,$0,0
Sebastian Nienstedt,"Age 20,  Meltina ITA",SixStreetShop.,,,,,$0,$0,0
Taylor Nguyen,"Regular,  Age 17,  Lutz USA",None.,,,,,$0,$0,0
Sebastian Nienhaus,"Age 29,  Münster DEU",Titus Tornados.,,,,,$0,$0,0
Sebastien Nielson,"Goofy,  Age 11,  Lakeland USA",None.,,,,,$0,$0,0
Seth Newson,"Regular,  Age 16,  Bakersfield USA",None.,,,,,$0,$0,0
Shes Nishikawa,"Goofy,  Age 51,  Kanagawa JPN","Murasaki Sports, Dvs, GoPro, Hasco.","1,637","1,784",0,0,$0,$0,0
siphesile nala,"Age 19,  durban ZAF",None.,,,,,$0,$0,0
Sammy Nigg,"Age 20,  Zurich CHE",None.,,,,,$0,$0,0
Leo Prantner,"Goofy,  Age 15,  Bolzano ITA",None.,,,,,$0,$0,0
"Tenzion ""Bob' Nyinje","Goofy,  Age 20,  Albuquerque USA",None.,,,,,$0,$0,0
Leon Parker,AUS,None.,,,,,$0,$0,0
Lawrence Perez,"Goofy,  Age 24,  Santo Domingo DOM","Crue, Heh Skateboards.",,,,,$0,$0,0
Lauren Perkins,"Goofy,  Age 28,  Huntington Beach USA",None.,,,,,$0,$0,0
samkelo ngcobo,durban ZAF,None.,,,,,$0,$0,0
Larisa Podgornik,"Goofy,  Age 17,  Cernice SVN",None.,346,"3,263",0,0,$0,$0,0
Kyle M. Perry,"Goofy,  Age 27,  Columbus USA",None.,,,,,$0,$0,0
Scooter Newell,"Goofy,  Age 45,  Cocoa Beach USA","Cocoa Beach Skatepark, Lake Skateboards, Purps, GSZ Alumni, Outerknown.","1,592","1,818",0,0,$0,$0,0
Kyle Peterson,"Regular,  Age 15,  Ann Arbor USA",None.,,,,,$0,$0,0
Kyle Perry,"Regular,  Age 23,  Burlington CAN",Surf Paradise.,,,,,$0,$0,0
Kyle Palmer,"Goofy,  Age 20,  Oklahoma City USA",None.,,,,,$0,$0,0
Laercio Pescoco,BRA,None.,,,,,$0,$0,0
Samantha Narvaez,"Goofy,  Age 25,  Key Largo USA",None.,550,"2,953",0,0,$0,$0,0
Kyle Pawley,"Goofy,  Age 16,  Phoenix USA",Rattlecan Garage Skateboards.,259,"3,380",57,"1,775",$0,$0,0
Sean Nolan,"Goofy,  Age 14,  Kansas City USA",None.,,,,,$0,$0,0
Kristjan Prik,"Regular,   Tallinn EST",Reede.,,,,,$0,$0,0
Lennie Pena,"Goofy,  Age 23,  Atlanta USA",None.,,,,,$0,$0,0
Lenni Pfeiffer,"Goofy,  Age 15,  Vienna AUT","Inpeddo Skateboards (Flow), Lites Trucks (Flow), JIMMY`Z Clothing, Muckefuck Wheels, Gloryfy Sunglasses, Fame Boardshop.","4,653","1,067",378,"1,621",$0,$0,0
Kristin Perkoski,USA,None.,,,,,$0,$0,0
Kim Marius Pettersen den andre,"Regular,  Age 26,  Kvål NOR",None.,416,"3,149",0,0,$0,$0,0
Kristian Philips,AUS,None.,,,,,$0,$0,0
Kirill Platonov,RUS,None.,,,,,$0,$0,0
Kilian Poschner,USA,Blue Tomato.,,,,,$0,$0,0
Kiana Parra,"Regular,  Age 22,  El Centro USA","Mini Logo, Local Skateshop, Rastaclat.","3,473","1,219",0,0,$0,$0,0
KEvin Pierre-Louis,"Goofy,  Age 21,  Las Vegas USA",None.,,,,,$0,$0,0
Kevin Peraza,"Age 22,  Tucson USA","Monster Energy, Mongoose Bikes, Vans, Ethika, Demolition.","150,616",92,"14,811",992,$0,$0,0
Kent Pearson,"Age 45,  Athens USA",None.,,,,,$0,$0,0
Kevin Phelps,"Regular,  Age 24,  Groton USA","7 Ply Skate Shop, Autobahn Wheels (flow), DC Shoes (flow).",544,"2,959",0,0,$0,$0,0
Koby Porteous,Bar Beach AUS,"Playgrounds Park, Grundy's.",,,,,$0,$0,0
Kimberlee Page,"Goofy,  Age 20,  Surprise USA",None.,,,,,$0,$0,0
Kevin F Perez,"Goofy,  Age 16,  San Francisco USA",None.,,,,,$0,$0,0
Kim Marius Pettersen,"Regular,  Age 26,  Kvål NOR",None.,331,"3,289",0,0,$0,$0,0
Kenneth Palmer,"Regular,  Age 20,  Albuquerque USA",None.,,,,,$0,$0,0
Kene Perez,"Regular,  Age 24,  Phoenix USA",None.,,,,,$0,$0,0
Keenan Perren,"Goofy,  Age 22,  Bradenton USA",None.,,,,,$0,$0,0
Kenneth Pickett,"Goofy,  Age 23,  Portland USA",None.,,,,,$0,$0,0
Keegan Palmer,"Goofy,  Age 14,  Currumbin AUS","Nike SB, Oakley, Flip, Independent, Bones, Bronson.","38,826",312,"24,983",857,$0,$0,0
Keegan Page,"Regular,  Age 13,  Pound Creek AUS",None.,,,,,$0,$0,0
Kenny Prattico,"Regular,  Age 23,  Sacramento USA",Shout out too buniouns and funiouns.,890,"2,491",0,0,$0,$0,0
Keanu Peina,"Regular,  Age 19,  Banksia Grove AUS","adidas, Momentum Skate Store, Andale Bearings.","2,615","1,401","15,415",976,$0,$0,0
Kenneth Payne,"Regular,  Age 19,  Atlanta USA",None.,,,,,$0,$0,0
Karla Mishell Perez,"Goofy,  Age 16,   MEX",Kalli Skate.,,,,,$0,$0,0
Kentaro Powell,"Goofy,  Age 21,  Cranford USA",None.,,,,,$0,$0,0
Kaleb Perkins,"Regular,  Age 18,  Davenport USA",None.,,,,,$0,$0,0
Katlego Phakendi,"Age 19,  Johannesburg ZAF",None.,,,,,$0,$0,0
Kainoa Pyle,"Goofy,  Age 10,  Bend USA",None.,179,"3,491",0,0,$0,$0,0
Kass Plummer,"Goofy,  Age 33,  Heerlen NLD","Jart skateboards, dixifive headwear, Emortal clothing, the promise skatehall, Wisdom Sunblockers, Vans.",,,,,$0,$0,0
Kenny Petsch,"Regular,  Age 20,  Stalkbridge USA",None.,,,,,$0,$0,0
Lee Yankou,"Regular,  Age 28,  Toronto CAN","Heroin Skateboards, Vans Shoes, OJ Wheels, Indy, Blue Tile Lounge, CBMK.","5,462",997,"120,452",541,$0,$0,0
Ke Ming Yao,"Goofy,  Age 31,  Taichung TWN","Nike SB, Black Knight Skateboard, 407 Homie.",,,,,$0,$0,0
Karhanna Parfitt,AUS,None.,,,,,$0,$0,0
Kaede Yoshikawa,"Goofy,  Age 16,  Ibaraki JPN","Axis Skatepark, Lono God of Peace, Harbest, Timbuk2, Macbeth Shoes.",878,"2,507","22,483",888,$0,$0,0
Josh Young,GBR,"Vans, The National Skate Co. Route One, Spitfire, Indy.",,,,,$0,$0,0
Lachlan Yarbrough,"Age 16,  Canton USA","Progressive Skatepark, Fuel Clothing, SPUN Skateboards, Origin Trucks.",,,,,$0,$0,0
Jonathan Yazzie,"Goofy,  Age 16,  Phoenix USA",None.,,,,,$0,$0,0
Long Yu,"Goofy,    USA","Vans, NinePush, HKSBC.","1,147","2,182",0,0,$0,$0,0
Kyonosuke Yamashita,JPN,None.,,,,,$0,$0,0
Liu Xiao Yu,"Goofy,  Age 29,  Shanghai CHN","Gift Skatebords, Nike SB, Helas, Fly Skate Shop, Cart Wheels.",,,,,$0,$0,0
Issey Yumiba,"Regular,  Age 28,  Redondo Beach USA","Almost (flow), DVS (flow), JSVL (flow), Nixon (flow), Markisa (flow), Leftover (flow).",,,,,$0,$0,0
Jake Yanko,"Regular,  Age 15,  Melbourne USA","Domain Premium Apparel, Pro-Tec Helmets, DriftHouse Skate Shop.","2,163","1,558","2,922","1,352",$0,$0,0
Hassanul Harith Yusof,"Regular,  Age 20,  Ampang MYS",None.,"1,032","2,316",0,0,$0,$0,0
Ian Yates,"Goofy,  Age 17,  Glendale USA",None.,,,,,$0,$0,0
Hakan Yalcin,Ankara TUR,None.,,,,,$0,$0,0
Issac Yanez,Santa Cruz USA,Dad flow.,,,,,$0,$0,0
Garrett Young,"Regular,  Age 25,  San Marcus USA","Rukus Board Shop, Nike SB, Ethika, Nixon, Purple Wax, Sitliaa Glass.","3,116","1,297",0,0,$0,$0,0
Fatih Yilmaz,"Regular,  Age 37,  Istanbul TUR",None.,,,,,$0,$0,0
Jan Yenke,Regensburg DEU,TLOC 2014 Teilnehmer.,,,,,$0,$0,0
Elijah Yambao,"Goofy,  Age 17,  ABQ USA",None.,,,,,$0,$0,0
Hunter Young,"Regular,  Age 17,  Melbourne USA",GSZ.,,,,,$0,$0,0
Gary Young,"Age 34,  San Diego USA","Sunday Bikes, Vans, Odyssey, Pro-Tec.","53,226",239,"51,243",690,$0,$0,0
Erica Yary,"Regular,   Los Angeles USA","Ride Channel, red carpet interviews.","32,221",355,0,0,$0,$0,0
Elijah Yount,Ft Meyers USA,None.,132,"3,541",0,0,$0,$0,0
Dustin Younie,USA,Belief.,,,,,$0,$0,0
Deniz Yilmaz,USA,None.,,,,,$0,$0,0
Diamond Young,"Regular,  Age 19,  Las Vegas USA",None.,,,,,$0,$0,0
Dre Young,"Regular,  Age 20,  Phoenix USA",Devil Street Skateboards.,,,,,$0,$0,0
Isaac Ybarra,"Goofy,  Age 20,  Houston USA",None.,,,,,$0,$0,0
Devon Young,"Goofy,  Age 13,  Los Angeles USA",None.,,,,,$0,$0,0
Daniel Yeager,"Regular,  Age 24,  Fountain Valley USA","Endurance Skateboards, Varsity Shades, FlyPaper Grip, Bombas Socks, Theeve Trucks (flow), Active Ride Shop.","6,453",926,"19,216",920,$0,$0,0
Eli Yambal,"Goofy,  Age 17,  ABQ USA",None.,,,,,$0,$0,0
Damian Yazzie,"Goofy,  Age 12,  Phoenix USA",None.,,,,,$0,$0,0
Corey Young,"Regular,  Age 21,  Sydney AUS","U.P.S, GMTA, Sunday Hardware, Nike.",,,,,$0,$0,0
Ching Yuk Hei,"Regular,  Age 24,  Hong Kong SAR",Young and Dangerous.,,,,,$0,$0,0
Aaron T Brown,"Goofy,  Age 23,  San Diego USA",None.,,,,,$0,$0,0
Noel Scharer,"Age 15,  Zurich CHE",None.,,,,,$0,$0,0
Dayana Young,"Goofy,  Age 18,  Behanna USA",None.,,,,,$0,$0,0
Cody Young,"Regular,  Age 25,  Buffalo USA",None.,,,,,$0,$0,0
Daniel Young,"Regular,  Age 44,  NSB USA",Vermont.,283,"3,345",0,0,$0,$0,0
Noah Santana-Cannon,"Goofy,  Age 10,  Houston USA",None.,,,,,$0,$0,0
Charlie Yarbrough,"Goofy,   Riverview USA",None.,,,,,$0,$0,0
Noe Solis,"Regular,  Age 20,  Paramount USA","Warning Skate Shop, Powell Peralta, Bones Wheels, Emerica, Mob, Downtown Patients Groups.",,,,,$0,$0,0
Noah Sweeney,"Goofy,  Age 14,  North Hollywood USA",None.,989,"2,368",0,0,$0,$0,0
Nizze Slander,"Goofy,    USA",None.,,,,,$0,$0,0
